Goalie,Season,Team,GP,TOI,SA,FA,Saves,GA,xGA,GSAx,GSAA,WAR,Sv%,xSv%,dSv%
Miikka Kiprusoff,08-09,CGY,76,4425.61666666667,2155,2996,1946,209,200.3643458573,-8.63565414269999,-11.7624152353108,1.87136725217081,0.9030162412993039,0.907023505402645,-0.004007264103341068
Marty Turco,08-09,DAL,74,4341.45,1993,2840,1790,203,186.857129113013,-16.1428708869868,-20.5895561781783,0.231765208982241,0.8981435022579026,0.9062432869478109,-0.00809978468990824
Henrik Lundqvist,08-09,NYR,70,4171.85,2007,2786,1839,168,182.876939287338,14.8769392873381,15.6918016810818,5.96601563620461,0.9162929745889388,0.9088804487855815,0.007412525803357273
Niklas Backstrom,08-09,MIN,71,4097.68333333333,2059,2830,1900,159,164.833802523,5.833802523,29.4511308726196,3.96011681180765,0.9227780475959203,0.9199447292263234,0.002833318369596882
Cam Ward,08-09,CAR,68,3932.63333333333,1901,2686,1741,160,178.701740653289,18.7017406532893,13.9900921752549,6.60893795444947,0.9158337716991057,0.9059959281150505,0.009837843584055261
Ilya Bryzgalov,08-09,PHX,64,3707.36666666667,1958,2793,1772,186,170.6050836847,-15.3949163153,-6.79295082632873,0.0888599532597743,0.9050051072522982,0.9128676794255873,-0.007862572173289117
Evgeni Nabokov,08-09,S.J,62,3698.15,1663,2276,1513,150,152.0223560207,2.02235602069999,2.20700856783213,3.02406791288899,0.9098015634395671,0.9085854744313289,0.0012160890082382192
Steve Mason,08-09,CBJ,61,3669.56666666667,1658,2279,1518,140,137.3596833987,-2.64031660129999,11.7493807609535,1.89654488636662,0.9155609167671894,0.917153387576176,-0.0015924708089866124
Marc-Andre Fleury,08-09,PIT,62,3654.71666666667,1850,2549,1688,162,156.200215121197,-5.79978487880308,7.32228854509287,1.63332668837041,0.9124324324324324,0.9155674512858394,-0.0031350188534069456
Dwayne Roloson,08-09,EDM,63,3609.65,1953,2666,1787,166,177.144298313433,11.1442983134334,12.7494213667926,5.16790571095771,0.9150025601638505,0.9092963142276329,0.005706245936217602
Ryan Miller,08-09,BUF,59,3458.06666666667,1773,2451,1628,145,156.012527436984,11.0125274369842,17.274820319162,4.77548822264698,0.9182177100958827,0.9120064707067209,0.006211239389161793
Tomas Vokoun,08-09,FLA,59,3335.38333333333,1856,2556,1718,138,162.7998612493,24.7998612493,31.8714419133472,7.47309328872355,0.9256465517241379,0.9122845575165409,0.013361994207596983
Jose Theodore,08-09,WSH,57,3295.18333333333,1572,2193,1415,157,147.8759481572,-9.12405184279999,-13.1218175173589,0.866516689455937,0.9001272264631043,0.9059313306888039,-0.005804104225699658
Peter Budaj,08-09,COL,56,3241.33333333333,1531,2184,1377,154,131.8952863183,-22.1047136817,-13.8743655337637,-1.84016256256864,0.8994121489222731,0.9138502375451993,-0.014438088622926282
Chris Mason,08-09,STL,57,3223.81666666667,1544,2204,1415,129,135.3705451897,6.37054518970001,12.3154667641207,3.54777593673777,0.9164507772020726,0.9123247764315415,0.004126000770531046
Tim Thomas,08-09,BOS,53,3209.41666666667,1664,2205,1552,112,153.060126408554,41.0601264085537,40.2985341292078,10.3457339432333,0.9326923076923077,0.9080167509563979,0.02467555673590982
Martin Biron,08-09,PHI,55,3183.73333333333,1718,2381,1572,146,156.812878633197,10.8128786331966,11.240914443497,4.75206460167065,0.9150174621653085,0.908723586360188,0.00629387580512053
Roberto Luongo,08-09,VAN,53,3149.35,1519,2111,1398,121,139.395416616741,18.3954166167408,18.0273277297276,5.86756441187855,0.9203423304805793,0.9082321154596834,0.012110215020895931
Carey Price,08-09,MTL,52,3050.43333333333,1513,2077,1370,143,136.739894286573,-6.26010571342704,-4.52182563852676,1.2085294368085,0.9054857898215466,0.909623334906429,-0.004137545084882399
Vesa Toskala,08-09,TOR,52,3001.78333333333,1495,2146,1332,163,143.922198473253,-19.0778015267473,-26.1692857432898,-1.06454632900386,0.8909698996655518,0.9037309709209009,-0.012761071255349088
Pekka Rinne,08-09,NSH,52,2995.5,1433,1949,1314,119,126.5627892623,7.5627892623,12.1561294514152,3.61754898006324,0.9169574319609212,0.9116798400123518,0.00527759194856936
Joey MacDonald,08-09,NYI,49,2805.83333333333,1584,2199,1427,157,147.512564362435,-9.48743563756457,-12.0235107808502,0.792206838093013,0.9008838383838383,0.9068733810843213,-0.005989542700482908
Chris Osgood,08-09,DET,46,2666.85,1208,1624,1071,137,109.3939224153,-27.6060775847,-26.4371218581231,-3.26101673528783,0.8865894039735099,0.9094421172058774,-0.022852713232367483
Kari Lehtonen,08-09,ATL,46,2639.3,1498,1969,1364,134,127.733842038132,-6.26615796186812,3.10529094083736,1.0506613083471,0.910547396528705,0.9147304125246115,-0.004183015995906536
Jonathan Quick,08-09,L.A,44,2514.06666666667,1200,1704,1097,103,111.4106042325,8.41060423250001,6.83067365087105,3.51246797579425,0.9141666666666667,0.90715782980625,0.007008836860416645
Jonas Hiller,08-09,ANA,46,2493.85,1215,1715,1116,99,113.2829032024,14.2829032024,12.2035570715069,4.64370507251535,0.9185185185185185,0.9067630426317694,0.011755475886749078
Mike Smith,08-09,T.B,41,2481.43333333333,1280,1730,1172,108,106.9566527591,-1.0433472409,9.15271856092912,1.66620736879161,0.915625,0.9164401150319531,-0.0008151150319530842
Nikolai Khabibulin,08-09,CHI,42,2476.03333333333,1192,1517,1096,96,97.750427172466,1.75042717246596,13.0984691598652,2.02867718559584,0.9194630872483222,0.9179946080767902,0.0014684791715319223
Jean-Sebastien Giguere,08-09,ANA,46,2465.76666666667,1274,1751,1147,127,107.6142996084,-19.3857003916,-10.3964348073252,-1.7540317549756,0.9003139717425431,0.9155303770734694,-0.015216405330926275
Alex Auld,08-09,OTT,43,2452.88333333333,1141,1574,1040,101,100.0436103039,-0.956389696100004,3.43066552970322,1.56216596982756,0.9114811568799299,0.9123193599439964,-0.0008382030640664562
Scott Clemmensen,08-09,N.J,40,2363.25,1138,1536,1044,94,93.6732519659,-0.326748034099992,10.156088845576,1.56910028488036,0.9173989455184535,0.9176860703287347,-0.00028712481028125847
Cristobal Huet,08-09,CHI,41,2357.55,1087,1454,988,99,100.812565661897,1.81256566189712,0.488285215414024,2.09359430139357,0.9089236430542779,0.9072561493450809,0.0016674937091969433
Ty Conklin,08-09,DET,39,2182.68333333333,1001,1356,910,91,80.2090874084,-10.7909125916,0.617086937101604,-0.622970056041885,0.9090909090909091,0.91987104155005,-0.01078013245914089
Dan Ellis,08-09,NSH,35,1967.88333333333,963,1346,867,96,88.7676649921,-7.23233500790001,-7.86088439517599,0.191755088164558,0.9003115264797508,0.9078217393643822,-0.007510212884631384
Jaroslav Halak,08-09,MTL,34,1936.71666666667,1077,1511,985,92,103.678813157,11.678813157,6.57302960165677,3.98936024967994,0.914577530176416,0.9037336925190343,0.010843837657381616
Martin Brodeur,08-09,N.J,31,1814.81666666667,870,1139,797,73,74.498125649748,1.49812564974803,6.62723839688151,1.57680511501246,0.9160919540229885,0.9143699705175311,0.0017219835054573807
Antero Niittymaki,08-09,PHI,32,1811.43333333333,947,1321,864,83,88.346476343198,5.34647634319801,3.67470662281239,2.53780409080956,0.9123548046462513,0.9067091062901816,0.0056456983560696505
Yann Danis,08-09,NYI,31,1765.43333333333,933,1299,849,84,96.2601121021,12.2601121021,1.39334876355224,3.96900537653303,0.909967845659164,0.8968273182185423,0.013140527440621663
Johan Hedberg,08-09,ATL,33,1725.51666666667,875,1221,775,100,86.7211387647,-13.2788612353,-19.9151337962399,-0.975110459232456,0.8857142857142857,0.9008901271260572,-0.015175841411771529
Andrew Raycroft,08-09,COL,31,1724.2,833,1192,743,90,70.3577362693,-19.6422637307,-13.7592073740203,-2.45042275407572,0.8919567827130852,0.9155369312493398,-0.023580148536254564
Brian Elliott,08-09,OTT,31,1669.88333333333,786,1068,709,77,67.3943330259841,-9.60566697401592,-5.06090875867946,-0.624241701970291,0.9020356234096693,0.91425657375829,-0.012220950348620696
Manny Fernandez,08-09,BOS,28,1650.23333333333,791,1061,720,71,79.5452682585,8.5452682585,1.39671904819916,2.98309760751969,0.9102402022756005,0.8994370818476612,0.010803120427939295
Craig Anderson,08-09,FLA,31,1636.6,977,1311,903,74,87.6313722704811,13.6313722704811,15.4204734640842,4.07538615983127,0.9242579324462641,0.910305657860306,0.013952274585958047
Erik Ersberg,08-09,L.A,28,1481.58333333333,651,963,586,65,56.2373619475,-8.76263805249999,-5.41685954440246,-0.660687878765016,0.9001536098310292,0.9136138833371736,-0.013460273506144427
Manny Legace,08-09,STL,29,1455.08333333333,669,936,592,77,48.1226535147,-28.8773464853,-15.7693994396394,-4.56518695222618,0.8849028400597907,0.9280677824892377,-0.04316494242944702
Karri Ramo,08-09,T.B,24,1328.76666666667,757,1041,677,80,67.5946379794745,-12.4053620205255,-10.7151500385755,-1.14455273268076,0.8943196829590488,0.9107072153507602,-0.016387532391711312
Brian Boucher,08-09,S.J,22,1300.21666666667,563,765,516,47,52.0276411016,5.0276411016,4.52889105453367,1.8460822400382,0.91651865008881,0.9075885593222025,0.008930090766607446
Patrick Lalime,08-09,BUF,24,1296.7,669,902,602,67,55.2605226857,-11.7394773143,-5.76939943963939,-1.23462724746285,0.8998505231689088,0.9173983218449925,-0.017547798676083692
Brent Johnson,08-09,WSH,21,1131.51666666667,579,781,526,53,49.9764914333,-3.0235085667,-0.0066999634547215,0.304089748120296,0.9084628670120898,0.9136848161773747,-0.005221949165284956
Michael Leighton,08-09,CAR,19,1032.75,507,738,457,50,51.0943251998,1.0943251998,-3.59654038250698,1.09395240377776,0.9013806706114399,0.8992222382646943,0.00215843234674562
Jason LaBarbera,08-09,L.A,19,1002.65,440,658,393,47,43.3921438758,-3.6078561242,-6.72875299468062,0.0801737858379456,0.8931818181818182,0.9013814911913637,-0.008199673009545494
Dany Sabourin,08-09,PIT,19,992.3,463,648,416,47,44.1677962313,-2.8322037687,-4.62366508303892,0.238790136035532,0.8984881209503239,0.9046051917250539,-0.006117070774730005
Curtis Sanford,08-09,VAN,19,973.833333333333,448,642,406,42,43.2895962892,1.2895962892,-0.996548503674809,0.9946571018272,0.90625,0.9033714368544643,0.0028785631455356953
Josh Harding,08-09,MIN,19,864.266666666667,453,629,421,32,36.0258779830892,4.02587798308923,9.46107930320382,1.38017676839188,0.9293598233995585,0.9204726755340193,0.008887147865539125
Curtis Joseph,08-09,TOR,20,851.95,383,575,333,50,38.4390984735,-11.5609015265,-14.945709993097,-1.49396711972412,0.8694516971279374,0.8996368186070496,-0.03018512147911223
Martin Gerber,08-09,OTT,14,839.666666666667,397,552,357,40,35.0634659156,-4.9365340844,-3.66435213383683,-0.313356757871211,0.8992443324937027,0.9116789271647355,-0.012434594671032806
Mathieu Garon,08-09,EDM,15,817.466666666667,408,591,365,43,39.256003472,-3.743996528,-5.65757095870384,-0.0172796733091515,0.8946078431372549,0.9037843052156863,-0.009176462078431369
Steve Valiquette,08-09,NYR,15,815.45,421,584,382,39,39.783554330412,0.78355433041196,-0.467738660819407,0.83896433421823,0.9073634204275535,0.9055022462460522,0.001861174181501224
Kevin Weekes,08-09,N.J,16,805.233333333333,399,518,367,32,31.8082046279,-0.1917953721,4.51869898891462,0.517687343610222,0.9197994987468672,0.9202801889025063,-0.00048069015563911854
Mikael Tellqvist,08-09,PHX,15,790.966666666667,408,569,370,38,33.4628659613362,-4.53713403866375,-0.657570958703843,-0.266488567916375,0.9068627450980392,0.9179831716633916,-0.011120426565352393
Mike McKenna,08-09,T.B,15,779.3,406,542,360,46,37.5388627935,-8.4611372065,-8.84062208145529,-0.929697071894398,0.8866995073891626,0.9075397468140394,-0.020840239424876783
Martin Gerber,08-09,TOR,12,705.95,402,589,364,38,39.9956503236,1.9956503236,-1.2067243269582,1.06942745789418,0.9054726368159204,0.9005083325283583,0.004964304287562116
Pascal Leclaire,08-09,CBJ,12,676.266666666667,324,429,281,43,27.1859459278,-15.8140540722,-13.3457181142648,-2.48553553659695,0.8672839506172839,0.9160927594820988,-0.04880880886481487
Ondrej Pavelec,08-09,ATL,12,603.433333333333,301,404,265,36,28.380812394,-7.619187606,-8.45080602590651,-0.931557190339033,0.8803986710963455,0.9057115867308971,-0.025312915634551625
Jeff Deslauriers,08-09,EDM,10,545.5,302,432,272,30,28.6509458477,-1.3490541523,-2.35928046453079,0.246227948117701,0.9006622516556292,0.9051293183850995,-0.0044670667294702815
Curtis McElhinney,08-09,CGY,13,454.3,241,323,214,27,22.5080548066,-4.4919451934,-4.94233970845006,-0.44868496688394,0.8879668049792531,0.9066055817153527,-0.018638776736099594
Tobias Stephan,08-09,DAL,10,437.866666666667,208,268,181,27,18.2376728678767,-8.76232713212331,-7.96268323384902,-1.32195298736633,0.8701923076923077,0.9123188804429004,-0.04212657275059273
Jason LaBarbera,08-09,VAN,8,432.6,225,304,206,19,20.2582235576,1.2582235576,1.59325130953832,0.587963671200506,0.9155555555555556,0.9099634508551111,0.005592104700444467
Olie Kolzig,08-09,T.B,8,411.566666666667,245,314,220,25,19.6256728394,-5.3743271606,-2.57623746294716,-0.663933668857843,0.8979591836734694,0.9198952129004081,-0.021936029226938714
Justin Pogge,08-09,TOR,7,373.666666666667,173,237,146,27,14.597040823,-12.402959177,-11.1660778819994,-2.06644085396796,0.8439306358381503,0.9156240414855492,-0.0716934056473989
Cory Schneider,08-09,VAN,8,357.983333333333,162,239,142,20,16.6075193306,-3.3924806694,-5.17285905713241,-0.3456746364856,0.8765432098765432,0.8974844485765433,-0.020941238700000087
Semyon Varlamov,08-09,WSH,6,328.566666666667,159,215,146,13,16.2008037518,3.2008037518,1.55256425874041,0.880789589923954,0.9182389937106918,0.8981081525044025,0.020130841206289385
Fredrik Norrena,08-09,CBJ,8,324.566666666667,133,182,116,17,11.0450557705,-5.9549442295,-4.82710033702846,-0.921893541293392,0.8721804511278195,0.9169544678909775,-0.04477401676315795
Rick DiPietro,08-09,NYI,5,259.5,139,197,124,15,13.4352215266544,-1.56477847334561,-2.2779469687741,-0.0589372069634069,0.8920863309352518,0.9033437300240691,-0.011257399088817288
Al Montoya,08-09,PHX,5,259.466666666667,120,170,111,9,10.2130464596,1.2130464596,1.98306736508711,0.404691354261095,0.925,0.9148912795033334,0.010108720496666668
Ben Bishop,08-09,STL,6,248.083333333333,112,179,100,12,12.1855124184,0.1855124184,-1.7491371259187,0.246776838731069,0.8928571428571429,0.8912007819785714,0.0016563608785714612
Mikael Tellqvist,08-09,BUF,6,232.333333333333,125,166,116,9,10.6874710163,1.6874710163,2.44069517196573,0.501708389140534,0.928,0.9145002318696,0.013499768130399992
Michal Neuvirth,08-09,WSH,5,219.883333333333,102,133,91,11,7.6970124535,-3.3029875465,-1.66439273967596,-0.484004297780703,0.8921568627450981,0.9245390935931374,-0.03238223084803926
Mathieu Garon,08-09,PIT,4,206.533333333333,94,139,84,10,9.5373847173,-0.4626152827,-1.39659723068177,0.0794317580683457,0.8936170212765957,0.8985384604542553,-0.004921439177659637
Matt Climie,08-09,DAL,3,184.266666666667,85,127,76,9,9.1492993823,0.149299382300001,-1.2203272830633,0.187161325842743,0.8941176470588236,0.8923611837376471,0.0017564633211765157
Wade Dubielewicz,08-09,CBJ,3,168.7,77,96,67,10,5.8004838905,-4.1995161095,-2.95253177406911,-0.684742508914028,0.8701298701298701,0.9246690403831168,-0.05453917025324673
Daniel Lacosta,08-09,CBJ,3,155.683333333333,80,112,76,4,5.864198673,1.864198673,3.32204491005807,0.450831223870799,0.95,0.9266975165875,0.023302483412499964
John Curry,08-09,PIT,3,150.3,69,96,63,6,7.3955565524,1.3955565524,0.315263734925085,0.389803436362861,0.9130434782608695,0.8928180209797101,0.02022545728115943
Antti Niemi,08-09,CHI,3,141.316666666667,59,71,51,8,4.9963316427,-3.0036683573,-2.59999187883217,-0.475005441649994,0.864406779661017,0.9153164128355932,-0.050909633174576197
Peter Mannino,08-09,NYI,3,133.033333333333,87,120,77,10,9.9271514405,-0.0728485594999988,-2.03727616031185,0.1591367633121,0.8850574712643678,0.8858948110287357,-0.0008373397643678393
Josh Tordjman,08-09,PHX,2,119.9,62,77,54,8,5.2300575894,-2.7699424106,-2.325415194705,-0.427209858552548,0.8709677419354839,0.9156442324290323,-0.04467649049354838
Adin Hill,25-26,VGK,27,1497.81666666667,586,927,510,76,60.6302334882784,-15.3697665117216,-14.9123518618159,-1.84106389931901,0.8703071672354948,0.8965354377333133,-0.026228270497818507
Akira Schmid,25-26,VGK,34,1965.78333333333,791,1273,706,85,80.4129927521369,-4.58700724786304,-2.54209952678561,0.547425106495645,0.8925410872313527,0.8983400850162618,-0.00579899778490911
Aleksei Kolosov,25-26,PHI,4,120.016666666667,47,67,39,8,5.44116302288603,-2.55883697711397,-3.10047873294428,-0.388405879478176,0.8297872340425532,0.8842305739811482,-0.05444333993859507
Alex Lyon,25-26,BUF,36,1992.01666666667,979,1497,888,92,102.349396607431,10.349396607431,10.0559855414373,3.75976366595742,0.9070480081716037,0.8954551617901624,0.011592846381441313
Alex Nedeljkovic,25-26,S.J,40,2277.96666666667,1046,1551,937,109,111.114134628151,2.11413462815102,0.0404094753252338,2.35577715408817,0.8957934990439771,0.8937723378315956,0.002021161212381495
Andrei Vasilevskiy,25-26,T.B,58,3430.75,1480,2199,1350,132,155.568939161429,23.5689391614286,22.2827973455844,7.19786358253159,0.9121621621621622,0.8948858519179534,0.017276310244208726
Anthony Stolarz,25-26,TOR,26,1385.65,708,1051,632,76,73.7254587999778,-2.27454120002224,-2.19444559413932,0.867275600897653,0.8926553672316384,0.8958679960452292,-0.0032126288135907455
Anton Forsberg,25-26,L.A,36,2032.1,951,1450,865,87,96.7427778326673,9.7427778326673,12.1371218078722,3.54629730742107,0.9095688748685594,0.8982725785145453,0.01129629635401408
Artur Akhtyamov,25-26,TOR,3,126,81,115,71,11,10.6100668044528,-0.389933195547201,-2.5561441993295,0.112968011451547,0.8765432098765432,0.8690115209326815,0.007531688943861692
Arturs Silovs,25-26,PIT,39,2246.55,1019,1550,905,115,109.314931031413,-5.68506896858723,-8.77420912489828,0.848362189111633,0.888125613346418,0.89272332577879,-0.004597712432371948
Arvid Soderblom,25-26,CHI,26,1468.61666666667,775,1146,682,93,85.7392574214609,-7.26074257853909,-12.2100216602514,0.135256081133761,0.88,0.8893687001013407,-0.009368700101340721
Brandon Bussi,25-26,CAR,39,2360.81666666667,911,1339,815,97,99.8057678643963,2.80576786439629,-2.03268352579227,2.28760516783126,0.8946212952799122,0.8904437235297515,0.004177571750160647
Calvin Pickard,25-26,EDM,16,864.133333333333,410,604,357,53,49.5890825337264,-3.41091746627356,-10.2594953299394,0.227423234722925,0.8707317073170732,0.8790510182104234,-0.008319310893350251
Cam Talbot,25-26,DET,34,1750.18333333333,795,1205,702,93,85.6443893711548,-7.35561062884523,-10.1251189934192,0.115635579627527,0.8830188679245283,0.89227120833817,-0.009252340413641646
Carl Lindbom,25-26,VGK,8,480.666666666667,189,299,165,24,20.4871493380633,-3.51285066193669,-4.2976697984355,-0.304094190406612,0.873015873015873,0.8916023844546916,-0.01858651143881862
Carter Hart,25-26,VGK,18,1019.78333333333,422,635,376,46,43.8358336809123,-2.16416631908773,-2.00855372984011,0.362066257333494,0.8909952606635071,0.8961236168698761,-0.005128356206368978
Casey DeSmith,25-26,DAL,30,1755,760,1152,689,71,78.2900102161802,7.29001021618021,8.22630133962446,2.7573990116041,0.906578947368421,0.8969868286629208,0.009592118705500252
Cayden Primeau,25-26,TOR,3,181.466666666667,80,115,67,13,7.44501649867743,-5.55498350132257,-4.66038933267111,-0.920059313611545,0.8375,0.9069372937665321,-0.06943729376653207
Charlie Lindgren,25-26,WSH,21,1246.03333333333,601,908,528,73,67.6579897306891,-5.34201026931093,-10.3486748616917,0.180061466342138,0.8785357737104825,0.8874243099322977,-0.00888853622181518
Clay Stevenson,25-26,WSH,4,239.733333333333,101,161,93,8,11.6348138630856,3.63481386308558,2.52875846750272,0.892557893331149,0.9207920792079208,0.8848038231377664,0.035988256070154434
Colten Ellis,25-26,BUF,16,911.333333333333,455,661,411,44,44.3230135532794,0.323013553279426,3.43153567043306,0.841259486485135,0.9032967032967033,0.9025867833993859,0.0007099198973173904
Connor Hellebuyck,25-26,WPG,57,3401.45,1547,2342,1385,162,163.03400879718,1.03400879717972,-0.732778720527591,3.06525204522848,0.8952811893988365,0.8946127932791339,0.0006683961197025967
Connor Ingram,25-26,EDM,32,1778.23333333333,760,1164,683,77,79.3406142233288,2.34061422332885,2.22630133962446,1.83937799120743,0.8986842105263158,0.8956044549693043,0.0030797555570114543
Dan Vladar,25-26,PHI,52,2995.21666666667,1283,1987,1162,121,132.416766650451,11.4167666504508,12.7465060772871,4.49095163408438,0.9056897895557288,0.8967912964532729,0.008898493102455829
Daniil Tarasov,25-26,FLA,33,1905.66666666667,923,1371,826,97,95.910065907732,-1.08993409226801,-0.781741925692941,1.48190055113566,0.894907908992416,0.8960887693307346,-0.0011808603383185456
Darcy Kuemper,25-26,L.A,50,2887.9,1234,1858,1100,134,129.412815940488,-4.58718405951203,-5.36150545645188,1.40984889021232,0.8914100486223663,0.8951273776819385,-0.0037173290595722275
David Rittich,25-26,NYI,30,1651.35,720,1156,644,76,82.8178827318278,6.81788273182778,-0.94350399404,2.747760304383,0.8944444444444445,0.8849751628724614,0.009469281571983124
Dennis Hildeby,25-26,TOR,20,1008.73333333333,548,839,501,48,56.0325937643446,8.03259376434456,9.12633307120289,2.50615096216116,0.9142335766423357,0.8977507413059406,0.016482835336395163
Devin Cooley,25-26,CGY,31,1718,847,1272,770,77,93.3101435774006,16.3101435774006,11.2956279403446,4.72854005207456,0.9090909090909091,0.889834541230932,0.019256367859977086
Drew Commesso,25-26,CHI,3,181.716666666667,85,123,78,7,7.94546802109107,0.945468021091071,1.86083633403694,0.318749234892021,0.9176470588235294,0.9065239056342227,0.011123153189306678
Dustin Wolf,25-26,CGY,57,3149.23333333333,1559,2289,1402,158,158.671150340408,0.67115034040756,4.51816287957175,2.91980114813314,0.8992944194996793,0.8982224821421372,0.0010719373575420743
