draft_pick,p_nhler,p_star,source,vintage_pulled
1,0.98535,0.747505,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
2,0.964698,0.589879,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
3,0.941641,0.485301,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
4,0.917375,0.411342,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
5,0.892568,0.356448,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
6,0.86765,0.31417,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
7,0.84291,0.28065,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
8,0.818546,0.253448,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
9,0.794699,0.230947,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
10,0.771461,0.212035,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
11,0.748896,0.195925,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
12,0.727043,0.182041,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
13,0.705923,0.169956,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
14,0.685544,0.159343,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
15,0.665905,0.149952,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
16,0.646996,0.141585,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
17,0.628803,0.134083,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
18,0.611308,0.127321,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
19,0.59449,0.121195,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
20,0.578327,0.115619,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
21,0.562794,0.110524,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
22,0.547869,0.105851,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
23,0.533525,0.101548,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
24,0.51974,0.097575,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
25,0.506489,0.093895,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
26,0.493749,0.090477,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
27,0.481497,0.087294,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
28,0.469712,0.084323,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
29,0.458372,0.081544,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
30,0.447457,0.078938,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
31,0.436948,0.076491,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
32,0.426826,0.074188,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
33,0.417074,0.072016,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
34,0.407675,0.069966,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
35,0.398612,0.068027,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
36,0.38987,0.06619,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
37,0.381435,0.064448,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
38,0.373294,0.062794,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
39,0.365432,0.06122,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
40,0.357837,0.059722,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
41,0.350499,0.058295,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
42,0.343404,0.056932,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
43,0.336544,0.05563,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
44,0.329906,0.054386,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
45,0.323483,0.053195,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
46,0.317265,0.052054,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
47,0.311243,0.050959,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
48,0.305409,0.049909,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
49,0.299755,0.048901,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
50,0.294274,0.047932,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
51,0.288959,0.046999,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
52,0.283803,0.046102,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
53,0.278799,0.045237,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
54,0.273941,0.044404,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
55,0.269225,0.0436,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
56,0.264643,0.042824,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
57,0.260192,0.042075,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
58,0.255866,0.041351,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
59,0.251659,0.040651,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
60,0.247569,0.039974,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
61,0.24359,0.039318,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
62,0.239718,0.038683,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
63,0.235949,0.038069,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
64,0.23228,0.037472,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
65,0.228707,0.036894,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
66,0.225226,0.036334,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
67,0.221835,0.035789,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
68,0.218529,0.03526,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
69,0.215307,0.034747,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
70,0.212165,0.034248,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
71,0.209101,0.033763,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
72,0.206111,0.033291,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
73,0.203194,0.032831,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
74,0.200346,0.032384,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
75,0.197567,0.031949,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
76,0.194852,0.031525,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
77,0.192201,0.031112,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
78,0.189612,0.03071,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
79,0.187081,0.030317,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
80,0.184608,0.029935,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
81,0.182191,0.029561,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
82,0.179827,0.029197,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
83,0.177516,0.028841,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
84,0.175255,0.028494,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
85,0.173044,0.028154,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
86,0.17088,0.027823,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
87,0.168762,0.027499,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
88,0.166689,0.027183,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
89,0.164659,0.026873,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
90,0.162672,0.026571,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
91,0.160726,0.026275,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
92,0.158819,0.025985,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
93,0.156952,0.025702,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
94,0.155122,0.025424,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
95,0.153328,0.025152,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
96,0.15157,0.024886,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
97,0.149846,0.024626,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
98,0.148157,0.024371,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
99,0.146499,0.02412,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
100,0.144874,0.023875,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
101,0.14328,0.023635,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
102,0.141715,0.023399,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
103,0.14018,0.023168,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
104,0.138674,0.022942,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
105,0.137195,0.022719,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
106,0.135744,0.022501,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
107,0.134319,0.022287,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
108,0.13292,0.022077,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
109,0.131545,0.021871,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
110,0.130196,0.021668,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
111,0.12887,0.021469,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
112,0.127567,0.021274,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
113,0.126287,0.021082,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
114,0.125029,0.020893,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
115,0.123793,0.020708,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
116,0.122578,0.020526,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
117,0.121383,0.020347,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
118,0.120209,0.020171,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
119,0.119054,0.019998,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
120,0.117918,0.019828,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
121,0.116801,0.019661,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
122,0.115703,0.019496,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
123,0.114622,0.019334,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
124,0.113558,0.019175,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
125,0.112512,0.019019,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
126,0.111482,0.018864,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
127,0.110469,0.018713,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
128,0.109471,0.018563,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
129,0.108489,0.018416,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
130,0.107523,0.018271,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
131,0.106571,0.018129,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
132,0.105634,0.017988,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
133,0.104711,0.01785,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
134,0.103802,0.017714,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
135,0.102907,0.017579,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
136,0.102025,0.017447,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
137,0.101156,0.017317,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
138,0.1003,0.017188,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
139,0.099456,0.017062,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
140,0.098625,0.016937,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
141,0.097806,0.016814,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
142,0.096999,0.016693,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
143,0.096203,0.016573,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
144,0.095419,0.016455,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
145,0.094645,0.016339,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
146,0.093883,0.016225,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
147,0.093131,0.016111,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
148,0.09239,0.016,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
149,0.091658,0.01589,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
150,0.090937,0.015781,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
151,0.089389,0.015287,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
152,0.087875,0.014812,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
153,0.086394,0.014354,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
154,0.084945,0.013913,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
155,0.083527,0.013488,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
156,0.082139,0.013078,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
157,0.080782,0.012683,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
158,0.079453,0.012302,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
159,0.078152,0.011935,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
160,0.076879,0.011581,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
161,0.075633,0.01124,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
162,0.074412,0.01091,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
163,0.073217,0.010592,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
164,0.072048,0.010285,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
165,0.070902,0.009988,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
166,0.06978,0.009702,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
167,0.068681,0.009426,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
168,0.067604,0.009158,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
169,0.066549,0.0089,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
170,0.065516,0.008651,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
171,0.064504,0.00841,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
172,0.063512,0.008177,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
173,0.062539,0.007951,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
174,0.061587,0.007733,"hockeystats.com/data/score_set.csv (Baseline page, Patrick Bacon / TopDownHockey)",2026-05-24
