league,season,season_start_year,nhle,source,vintage_pulled
16u-aaa,2008-2009,2008,0.0233062500552118,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2009-2010,2009,0.0228157845875742,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2010-2011,2010,0.0276124284823451,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2011-2012,2011,0.0259718752439096,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2013-2014,2013,0.0283808342962902,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2014-2015,2014,0.0185765846615049,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2015-2016,2015,0.0262802927449508,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2016-2017,2016,0.0278072895786875,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2017-2018,2017,0.0300493953422234,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2018-2019,2018,0.0313043305832283,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2019-2020,2019,0.0329225185335388,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2020-2021,2020,0.025956217583257,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2021-2022,2021,0.0242206768473658,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2022-2023,2022,0.0258182892392887,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
16u-aaa,2023-2024,2023,0.0226517755673784,"hockeystats.com/data/NHLe_Temporal.csv (NHLe page; Bacon/TopDownHockey, era-varying network NHLe)",2026-05-24
