last_run,model,pages,n_rows,mae_plus0,mae_plus1,mae_plus2,mae_plus3,mae_plus4,mae_plus5,bias_3plus
2026-09-15,"today's model (trailing 60/40, carried flat)",2015-2021,35878,0.6535,0.7058,0.7241,0.7405,0.7438,0.7387,0.9994
2026-09-15,calibrated total,2015-2021,35878,0.576,0.6036,0.5983,0.597,0.6068,0.5695,-0.3078
2026-09-15,"calibrated total, no age terms",2015-2021,35878,0.5754,0.6002,0.5993,0.5979,0.6132,0.5859,-0.4454
2026-09-15,"component split, no shrinking (diagnostic)",2015-2021,35878,0.5923,0.6229,0.6264,0.6223,0.6612,0.5921,-0.6081
2026-09-15,component model,2015-2021,35878,0.5751,0.607,0.6023,0.61,0.6564,0.6139,-0.3002
2026-09-15,"component model, age in the norm only",2015-2021,35878,0.5741,0.6064,0.6085,0.6176,0.6708,0.6,-0.346
2026-09-15,"component model, trust fitted per horizon",2015-2021,35878,0.5751,0.6062,0.5969,0.6009,0.6376,0.6055,-0.4116
2026-09-15,"component model, per-horizon trust, age in the norm only",2015-2021,35878,0.5741,0.6058,0.6034,0.6069,0.6552,0.5888,-0.4505
2026-09-15,"calibrated total, three-season window",2015-2021,35878,0.5714,0.5954,0.5887,0.5884,0.5861,0.5705,-0.37
2026-09-15,"component model, per-horizon trust, three-season window",2015-2021,35878,0.5771,0.604,0.5956,0.6038,0.6344,0.6146,-0.4283
2026-09-15,"component model, per-horizon trust, four-season window",2015-2021,35878,0.5769,0.6024,0.5954,0.6048,0.6323,0.6166,-0.4447
2026-09-15,"component model, trust and window both fitted per horizon",2015-2021,35878,0.5771,0.6046,0.596,0.6042,0.634,0.6149,-0.4399
2026-09-15,"calibrated total, window fitted per horizon",2015-2021,35878,0.5714,0.5959,0.5891,0.589,0.5861,0.5706,-0.3804
2026-09-15,"component model, window fitted per component",2015-2021,35878,0.5754,0.6033,0.5948,0.6025,0.6343,0.6133,-0.4382
2026-09-15,"component model, window per component, four seasons available",2015-2021,35878,0.5756,0.6018,0.5947,0.6039,0.6333,0.6165,-0.4762
2026-09-15,"calibrated total, three seasons, additive aging",2015-2021,35878,0.5714,0.5909,0.5886,0.6025,0.6287,0.5893,-0.3442
2026-09-15,"component model, per-component window, additive aging",2015-2021,35878,0.5754,0.6016,0.6022,0.6203,0.6507,0.6033,-0.2941
2026-09-15,"calibrated total, aging fitted the naive way (diagnostic)",2015-2021,35878,0.5714,0.6231,0.6553,0.6728,0.6778,0.6249,-0.8591
2026-09-15,"calibrated total, participation, no aging walk",2015-2021,35878,0.5508,0.558,0.5382,0.5148,0.4744,0.4353,-0.4155
2026-09-15,"calibrated total, aging, participation",2015-2021,35878,0.5508,0.5539,0.5311,0.5076,0.471,0.4255,-0.387
2026-09-15,"calibrated total, aging, participation (no contract data)",2015-2021,35878,0.5501,0.5524,0.5274,0.503,0.4668,0.4218,-0.3927
2026-09-15,"component model, aging, participation",2015-2021,35878,0.549,0.5559,0.5333,0.5103,0.4733,0.4257,-0.3352
2026-09-15,"calibrated total, aging (survivorship-imputed), participation",2015-2021,35878,0.5508,0.5533,0.5292,0.5037,0.4643,0.4191,-0.4122
2026-09-15,"calibrated total, aging (survivorship-imputed), participation (no contracts)",2015-2021,35878,0.5501,0.552,0.526,0.5001,0.4616,0.4171,-0.4178
2026-09-15,"calibrated total, aging (survivorship-IPW), participation",2015-2021,35878,0.5508,0.555,0.5326,0.509,0.4703,0.4218,-0.3618
2026-09-15,"component model, aging (survivorship-imputed), participation",2015-2021,35878,0.549,0.5543,0.5297,0.5043,0.4646,0.4183,-0.3629
2026-09-15,leader + a second slope above one win,2015-2021,35878,0.5492,0.5509,0.5248,0.4992,0.4606,0.4164,-0.375
2026-09-15,leader + slopes above one and two wins,2015-2021,35878,0.5483,0.5504,0.5242,0.499,0.4602,0.4156,-0.4345
2026-09-15,leader + level interacted with evidence,2015-2021,35878,0.5496,0.5512,0.5257,0.4995,0.4613,0.4167,-0.3935
2026-09-15,leader + hinge and evidence interaction,2015-2021,35878,0.549,0.5506,0.5248,0.499,0.4607,0.4163,-0.3646
